Parent Service,API Name
Authentication Services,authenticate
Notification Services,generateNotification
Notification Services,fetchNotificationForDisplayId
Notification Services,fetchNotificationForId
Notification Services,fetchDisplayIDsForUserPendingTasks
Notification Services,fetchPendingNotificationsForUser
Sensitive Field Services,fetchSensFields
Sensitive Field Services,fetchSensitiveFieldNamesForThisPurpose
Sensitive Field Services,addSensFields
Sensitive Field Services,updateSensFields
Sensitive Field Services,deleteSensFields
Request Management Services,getDataRectificationRequestDetailsByUserToRoleId
Request Management Services,getDataPortabilityRequestDetailsByUserToRoleId
Sensitive Field Services,fetchSensitiveFieldById
Sensitive Field Services,fetchPurposeDisplayIDsForThisField
Purpose Services,addPurpose
Purpose Services,fetchAllPurposes
Purpose Services,fetchAllActivePurposesPendingForUser
Purpose Services,fetchAllPurposeTypes
Purpose Services,fetchAllApplicationTypes
Purpose Services,fetchAllActivePurposesTitles
Purpose Services,fetchAllActivePurposes
Purpose Services,fetchAllActivePurposesWithStatus
Purpose Services,fetchAllActivePurposesIDs
Purpose Services,fetchThisPurposeWithPurposeId
Purpose Services,fetchThisPurposeWithPurposeDisplayId
Purpose Services,deletePurpose
Purpose Services,fetchThisImage
Purpose Services,returnPurposeAfterApproval
Purpose Services,sendPurposeForApproval
Purpose Services,broadcastPurpose
Workflow Services,initProcessEngine
Workflow Services,destroyProcessEngine
Workflow Services,getTasksFromInstancesInitiatedByUser
Workflow Services,getTasksForRole
Workflow Services,claimTask
Workflow Services,getTasksAssignedToUser
Workflow Services,completeTask
Workflow Services,getTaskObject
Workflow Services,deployProcessAndStartInstance
Workflow Services,getProcessVariableForTask
Workflow Services,getProcessVariableValueFromTask
Workflow Services,setProcessVariableForTask
Workflow Services,setProcessVariableForProcessInstance
Policy Management Services,addDataSubjectConsent
Policy Management Services,fetchAllDataSubjectsPolicy
Policy Management Services,fetchAllDsPolicyForThisPurpose
Policy Management Services,fetchDataSubjectCompletePolicy
Policy Management Services,fetchDataSubjectPolicy
Policy Management Services,findAllSpecificConsentsFrThisUser
Policy Management Services,getPendingNotificationsForUser
Policy Management Services,updateDataSubjectConsent
Policy Management Services,updateLawfulPurposeConsent
Policy Management Services,getConsentCountForUser
Notification Services,fetchPendingNotificationsForDataSubject
Audit Trail Services,storeDPOActionTrail
Audit Trail Services,storeDataSubjectActionTrail
Audit Trail Services,storePolicyUpdateTrail
Audit Trail Services,fetchAnalyticsTrail
Audit Trail Services,fetchPrivacyStatement
Audit Trail Services,fetchPurposeAuditConsent
Audit Trail Services,fetchDataSubjectAuditConsent
Tips Services,fetchTips
Tips Services,fetchTipsForPurpose
Request Management Services,initiateDataAccessRequest
Request Management Services,getDataAccessRequestDetailsByUserToRoleId
Request Management Services,requestAction
Request Management Services,fetchAllRequestCount
Request Management Services,fetchTypeRequests
Request Management Services,getDataAccessRequestDetailsByRequestTitle
Request Management Services,getHashMapValuesToExportFile
Request Management Services,initiateDataPortabilityRequest
Request Management Services,initiateDataRectificationRequests
Request Management Services,initiateDataErasureRequest
Request Management Services,initiateRightToRestrictRequest
Request Management Services,initiateRightToObjectRequest
Request Management Services,getRightToRestrictRequestDetailsByRequestTitle
Request Management Services,getRightToObjectRequestDetailsByRequestTitle
Request Management Services,getDataErasureRequestDetailsByRequestTitle
Request Management Services,getDataRectificationRequestDetailsByRequestTitle
Request Management Services,getDataPortabilityRequestDetailsByRequestTitle
Purpose Services,fetchAllActivePurposesWithConsent
Purpose Services,fetchAllActiveBroadcastedPurposesForApp
Workflow Services,getProcessVariableValueFromTaskHistory
Request Management Services,checkApprovedStatusForUserByUserToRoleId
Request Management Services,getAccessRequestData
Request Management Services,hasRaisedDataAccess
Request Management Services,getRightToRestrictRequestDetailsByUserToRoleId
Request Management Services,getRightToObjectRequestDetailsByUserToRoleId
Request Management Services,getDataErasureRequestDetailsByUserToRoleId
Audit Trail Services,storeAdminActionTrail
Audit Trail Services,fetchPIIAccessDetails
Audit Trail Services,getConsentPurposeList
Enforcement Services,getDecision
Enforcement Services,getPurposes
Audit Trail Services,storePrivacyEnforcementTrail
Request Management Services,getRequestDetailsByTitle
Request Management Services,initiateDataRectificationRequest 
